type,buffer size,seconds for 2GB
ext2-sata,8,399
ext2-sata,64,56
ext2-sata,128,32
ext2-sata,256,26
ext2-sata,512,26
ext2-sata,1024,26
ext2-sata,2048,26
ext2-sata,4096,26
ext2-sata,32768,26
ext2-sata,65536,26
ext2-sata,131072,25
ext3-sata,8,662
ext3-sata,64,91
ext3-sata,128,50
ext3-sata,256,31
ext3-sata,512,27
ext3-sata,1024,26
ext3-sata,2048,27
ext3-sata,4096,26
ext3-sata,32768,27
ext3-sata,65536,25
ext3-sata,131072,26
ext4-sata,8,688
ext4-sata,64,95
ext4-sata,128,51
ext4-sata,256,30
ext4-sata,512,27
ext4-sata,1024,26
ext4-sata,2048,27
ext4-sata,4096,26
ext4-sata,32768,26
ext4-sata,65536,26
ext4-sata,131072,25
fat32-sata,8,450
fat32-sata,64,74
fat32-sata,128,53
fat32-sata,256,42
fat32-sata,512,36
fat32-sata,1024,34
fat32-sata,2048,33
fat32-sata,4096,33
fat32-sata,32768,32
fat32-sata,65536,33
fat32-sata,131072,33
ntfs(win)-sata,8,12685
ntfs(win)-sata,64,1524
ntfs(win)-sata,128,829
ntfs(win)-sata,256,424
ntfs(win)-sata,512,238
ntfs(win)-sata,1024,148
ntfs(win)-sata,2048,123
ntfs(win)-sata,4096,131
ntfs(win)-sata,32768,116
ntfs(win)-sata,65536,115
ntfs(win)-sata,131072,114
ntfs(linux)-sata,8,18338
ntfs(linux)-sata,64,2284
ntfs(linux)-sata,128,1152
ntfs(linux)-sata,256,591
ntfs(linux)-sata,512,309
ntfs(linux)-sata,1024,167
ntfs(linux)-sata,2048,95
ntfs(linux)-sata,4096,59
ntfs(linux)-sata,32768,56
ntfs(linux)-sata,65536,57
ntfs(linux)-sata,131072,58
ext2-usb,8,411
ext2-usb,64,68
ext2-usb,128,65
ext2-usb,256,65
ext2-usb,512,64
ext2-usb,1024,63
ext2-usb,2048,64
ext2-usb,4096,62
ext2-usb,32768,63
ext2-usb,65536,63
ext2-usb,131072,63
ext3-usb,8,679
ext3-usb,64,108
ext3-usb,128,70
ext3-usb,256,68
ext3-usb,512,67
ext3-usb,1024,66
ext3-usb,2048,65
ext3-usb,4096,65
ext3-usb,32768,65
ext3-usb,65536,65
ext3-usb,131072,65
ext4-usb,8,741
ext4-usb,64,111
ext4-usb,128,68
ext4-usb,256,67
ext4-usb,512,66
ext4-usb,1024,66
ext4-usb,2048,65
ext4-usb,4096,65
ext4-usb,32768,65
ext4-usb,65536,65
ext4-usb,131072,65
fat32-usb,8,470
fat32-usb,64,91
fat32-usb,128,78
fat32-usb,256,73
fat32-usb,512,72
fat32-usb,1024,71
fat32-usb,2048,69
fat32-usb,4096,71
fat32-usb,32768,71
fat32-usb,65536,71
fat32-usb,131072,72
ntfs-usb,8,18587
ntfs-usb,64,2335
ntfs-usb,128,1186
ntfs-usb,256,612
ntfs-usb,512,325
ntfs-usb,1024,181
ntfs-usb,2048,109
ntfs-usb,4096,73
ntfs-usb,32768,70
ntfs-usb,65536,72
ntfs-usb,131072,72
